1,one,un
2,two,deux
3,three,trois
4,four,quatre
5,five,cinq
6,six,six
7,seven,sept
8,eight,huit
9,nine,neuf
10,ten,dix
11,eleven,onze
12,twelve,douze
13,thirteen,treize
14,fourteen,quatorze
15,fifteen,quinze
16,sixteen,seize
17,seventeen,dix-sept
18,eighteen,dix-huit
19,nineteen,dix-neuf
20,twenty,vingt
21,twenty-one,vingt-et-un
22,twenty-two,vingt-deux
23,twenty-three,vingt-trois
24,twenty-four,vingt-quatre
25,twenty-five,vingt-cinq
26,twenty-six,vingt-six
27,twenty-seven,vingt-sept
28,twenty-eight,vingt-huit
29,twenty-nine,vingt-neuf
30,thirty,trente
31,thirty-one,trente-et-un
32,thirty-two,trente-deux
33,thirty-three,trente-trois
34,thirty-four,trente-quatre
35,thirty-five,trente-cinq
36,thirty-six,trente-six
37,thirty-seven,trente-sept
38,thirty-eight,trente-huit
39,thirty-nine,trente-neuf
40,forty,quarante
41,forty-one,quarante-et-un
42,forty-two,quarante-deux
43,forty-three,quarante-trois
44,forty-four,quarante-quatre
45,forty-five,quarante-cinq
46,forty-six,quarante-six
47,forty-seven,quarante-sept
48,forty-eight,quarante-huit
49,forty-nine,quarante-neuf
50,fifty,cinquante
51,fifty-one,cinquante-et-un
52,fifty-two,cinquante-deux
53,fifty-three,cinquante-trois
54,fifty-four,cinquante-quatre
55,fifty-five,cinquante-cinq
56,fifty-six,cinquante-six
57,fifty-seven,cinquante-sept
58,fifty-eight,cinquante-huit
59,fifty-nine,cinquante-neuf
60,sixty,soixante
61,sixty-one,soixante-et-un
62,sixty-two,soixante-deux
63,sixty-three,soixante-trois
64,sixty-four,soixante-quatre
65,sixty-five,soixante-cinq
66,sixty-six,soixante-six
67,sixty-seven,soixante-sept
68,sixty-eight,soixante-huit
69,sixty-nine,soixante-neuf
70,seventy,soixante-dix
71,seventy-one,soixante-et-onze
72,seventy-two,soixante-douze
73,seventy-three,soixante-treize
74,seventy-four,soixante-quatorze
75,seventy-five,soixante-quinze
76,seventy-six,soixante-seize
77,seventy-seven,soixante-dix-sept
78,seventy-eight,soixante-dix-huit
79,seventy-nine,soixante-dix-neuf
80,eighty,quatre-vingts
81,eighty-one,quatre-vingt-un
82,eighty-two,quatre-vingt-deux
83,eighty-three,quatre-vingt-trois
84,eighty-four,quatre-vingt-quatre
85,eighty-five,quatre-vingt-cinq
86,eighty-six,quatre-vingt-six
87,eighty-seven,quatre-vingt-sept
88,eighty-eight,quatre-vingt-huit
89,eighty-nine,quatre-vingt-neuf
90,ninety,quatre-vingt-dix
91,ninety-one,quatre-vingt-onze
92,ninety-two,quatre-vingt-douze
93,ninety-three,quatre-vingt-treize
94,ninety-four,quatre-vingt-quatorze
95,ninety-five,quatre-vingt-quinze
96,ninety-six,quatre-vingt-seize
97,ninety-seven,quatre-vingt-dix-sept
98,ninety-eight,quatre-vingt-dix-huit
99,ninety-nine,quatre-vingt-dix-neuf
100,hundred,cent
0,zero,zéro
𝔸,algebraic numbers set,ensemble des nombres algébriques
𝔹,true and false set,ensemble de bool
ℂ,complex numbers set,ensemble des nombres complexes
ℂ̷,split-complex numbers set,ensemble des nombres complexes déployés
𝔻,decimal numbers set,ensemble des nombres décimaux
𝔻̷,duals numbers set,ensemble des nombres duaux
𝔽ₚ,finite field modulo p,corps fini modulo p
ℍ,quaternions set,ensemble des quaternions
𝕀,imaginary numbers set,ensemble des nombres imaginaires
ℕ,natural numbers set,ensemble des nombres naturels
ℕ*,positive integers set,ensemble des nombres naturels non-nul
𝕆,octonions set,ensemble des octonions
ℙ,prime numbers set,ensemble des nombres premiers
ℙ_i,gaussian primes set,ensemble des nombres premiers de gauss
ℚ,rational numbers set,ensemble des nombres rationnels
ℚₚ,p-adic numbers,nombres p-adiques
ℝ,real numbers set,ensemble des nombres réels
★ℝ,hyperreals,nombres hyperréels
𝕋,transcendantal numbers set,ensemble des nombres transcendentaux
ℤ,integers set,ensemble des nombres entiers relatifs
ℤ-,nonpositive integers set,ensemble des nombres négatifs
ℤ-*,negative integers set,ensemble des nombres négatifs non-nul
ℤ[i],gaussian integers set,ensemble des nombres entiers de gausse
ℵ₀,aleph null,aleph nul
ℵ₁,aleph one,aleph un
𝔠,cardinality of continuum,cardinal du continu
"Cl(p,q)",clifford algebra,algèbre de clifford
Λⁿ(V),exterior algebra,algèbre extérieure
"Hom(A,B)",homomorphisms,homomorphismes
End(A),endomorphisms,endomorphismes
Aut(A),automorphisms,automorphismes
Obj(C),objects of category,objets de la catégorie
Mor(C),morphisms of category,morphismes de la catégorie
∂A,boundary of set,frontière de l'ensemble
int(A),interior of set,intérieur de l'ensemble
cl(A),closure of set,fermeture de l'ensemble
0.011010100...,prime constant,constante des nombres premiers
0.123456789...,champernowne constant,constante de champernowne
0.149162536...,squares (besicovitch),carrés de besicovitch
0.235711131...,copeland-erdos constant,constante copeland-erdos
0.414682509...,prime constant,constante des nombres premiers
0.567143290...,omega constant,constante oméga
0.577215664...,euler's constant,constante d'euler
0.915965594...,catalan's constant,constante de catalan
1.202056903...,apery's constant,constante d'apery
1.324717957...,plastic number,constante plastique
1.465571231...,supergolden ratio,nombre superdoré
1.618033988...,golden ratio,nombre d'or
1.839286755...,tribonacci constant,constante de tribonacci
2.295587149...,universal parabolic constant,constant parabolique universel
2.414213562...,silver ratio,nombre d'argent
2.718781845...,euler's number,nombre d'euler
3.141592653...,pi,pi
1.414213562...,square root of 2,racine carrée de 2
6.283185306...,tau,tau
ℏ,reduced planck constant,constante de planck réduite
σ(n),sigma function,fonction sigma
s(n),aliquot sum,somme aliquot
sin(θ),sine,sinus
cos(θ),cosine,cosinus
tan(θ),tangent,tangente
cot(θ),cotangent,cotangente
sec(θ),secant,sécante
csc(θ),cosecant,cosecant
arcsin(θ),arcsine,arcsinus
arccos(θ),arccosine,arccosinus
arctan(θ),arctangent,arctangente
arccot(θ),arccotangent,arccotangente
arcsec(θ),arcsecant,arcsécante
